Capability;Power;Super Admin;Administrator;Editor;Author;Contributor;Subscriber
manage_network;20;Y;;;;;
manage_sites;20;Y;;;;;
manage_network_users;20;Y;;;;;
manage_network_plugins;20;Y;;;;;
manage_network_themes;20;Y;;;;;
manage_network_options;20;Y;;;;;
install_plugins;10;Y;Y (single site);;;;
install_themes;10;Y;Y (single site);;;;
edit_plugins;10;Y;Y (single site);;;;
edit_themes;10;Y;Y (single site);;;;
delete_plugins;8;Y;Y (single site);;;;
delete_themes;8;Y;Y (single site);;;;
update_core;7;Y;Y (single site);;;;
update_plugins;7;Y;Y (single site);;;;
update_themes;7;Y;Y (single site);;;;
create_users;7;Y;Y (single site);;;;
delete_users;7;Y;Y (single site);;;;
edit_users;7;Y;Y (single site);;;;
activate_plugins;6;Y;Y (single site or enabled by network setting);;;;
edit_theme_options;5;Y;Y;;;;
export;5;Y;Y;;;;
import;5;Y;Y;;;;
list_users;5;Y;Y;;;;
manage_options;5;Y;Y;;;;
promote_users;5;Y;Y;;;;
remove_users;5;Y;Y;;;;
switch_themes;5;Y;Y;;;;
moderate_comments;4;Y;Y;Y;;;
manage_categories;4;Y;Y;Y;;;
manage_links;4;Y;Y;Y;;;
edit_others_posts;4;Y;Y;Y;;;
edit_pages;4;Y;Y;Y;;;
edit_others_pages;4;Y;Y;Y;;;
edit_published_pages;4;Y;Y;Y;;;
publish_pages;4;Y;Y;Y;;;
delete_pages;4;Y;Y;Y;;;
delete_others_pages;4;Y;Y;Y;;;
delete_published_pages;4;Y;Y;Y;;;
delete_others_posts;4;Y;Y;Y;;;
delete_private_posts;4;Y;Y;Y;;;
edit_private_posts;4;Y;Y;Y;;;
read_private_posts;4;Y;Y;Y;;;
delete_private_pages;4;Y;Y;Y;;;
edit_private_pages;4;Y;Y;Y;;;
read_private_pages;4;Y;Y;Y;;;
unfiltered_html;4,2;Y;Y;Y;;;
edit_published_posts;3;Y;Y;Y;Y;;
upload_files;3;Y;Y;Y;Y;;
publish_posts;3;Y;Y;Y;Y;;
delete_published_posts;3;Y;Y;Y;Y;;
edit_posts;2;Y;Y;Y;Y;Y;
delete_posts;2;Y;Y;Y;Y;Y;
read;1;Y;Y;Y;Y;Y;Y
